algorithm,scenario,metric,ql_condition,n,n_valid,mean,std,ci95_low,ci95_high,median,iqr
fuzzy_3x3,step_change_irradiance,energy_yield_ratio,not_applicable,50,50,0.9904651058464932,0.0071172708627485455,0.988442399850246,0.9924878118427404,0.9944115987698763,0.005467019678128127
fuzzy_3x3,step_change_irradiance,oscillation_p2p_w,not_applicable,50,50,149.82854232654833,0.006622444365080501,149.82666024868655,149.8304244044101,149.83044238436068,0.012547698324908652
fuzzy_3x3,step_change_irradiance,oscillation_std_w,not_applicable,50,50,50.49007015442265,0.09700185330866402,50.46250253277128,50.51763777607401,50.44975171717724,0.13112332467051857
fuzzy_3x3,step_change_irradiance,settling_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,step_change_irradiance,settling_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,step_change_irradiance,tracking_efficiency_pct,not_applicable,50,50,99.04651058464931,0.7117270862748561,98.84423998502459,99.24878118427404,99.44115987698763,0.5467019678128082
fuzzy_3x3,temperature_step,convergence_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,temperature_step,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,temperature_step,energy_yield_j,not_applicable,50,50,1197.3350149728137,7.465203457174198,1195.2134276274362,1199.4566023181912,1201.4753970071406,5.7339877066331155
fuzzy_3x3,temperature_step,energy_yield_ratio,not_applicable,50,50,0.9957294070613159,0.006208222860811391,0.9939650496483744,0.9974937644742573,0.999172637315583,0.004768506815406415
fuzzy_3x3,temperature_step,oscillation_p2p_w,not_applicable,50,50,29.69790211184425,0.005806275424388366,29.696251986628663,29.699552237059837,29.696047917218717,0.011154205909171822
fuzzy_3x3,temperature_step,oscillation_std_w,not_applicable,50,50,11.443879603160376,0.019813771630045645,11.438248591575004,11.449510614745748,11.434334669785333,0.02566971098919346
fuzzy_3x3,temperature_step,settling_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,temperature_step,settling_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,temperature_step,tracking_efficiency_pct,not_applicable,50,50,99.57294070613158,0.6208222860811398,99.39650496483743,99.74937644742572,99.91726373155831,0.4768506815406681
fuzzy_5x5,multi_level_irradiance,convergence_time_s,not_applicable,50,50,2.006,0.0,2.006,2.006,2.006,0.0
fuzzy_5x5,multi_level_irradiance,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_5x5,multi_level_irradiance,energy_yield_j,not_applicable,50,50,719.0445835195501,0.5722532671607168,718.8819509406895,719.2072160984106,719.1517090623896,0.8107704196314671
fuzzy_5x5,multi_level_irradiance,energy_yield_ratio,not_applicable,50,50,0.9649968338808474,0.0007679949249948514,0.964778572138414,0.9652150956232809,0.9651406021700988,0.00108809788138442
fuzzy_5x5,multi_level_irradiance,oscillation_p2p_w,not_applicable,50,50,102.38901636240132,0.015524503296313743,102.38460434738717,102.39342837741547,102.40104805438588,0.031662347327824136
fuzzy_5x5,multi_level_irradiance,oscillation_std_w,not_applicable,50,50,40.822352584050336,1.545071479656013e-05,40.82234819300578,40.82235697509489,40.82236455855527,3.151185509864263e-05
fuzzy_5x5,multi_level_irradiance,settling_time_s,not_applicable,50,50,2.006,0.0,2.006,2.006,2.006,0.0
fuzzy_5x5,multi_level_irradiance,settling_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_5x5,multi_level_irradiance,tracking_efficiency_pct,not_applicable,50,50,96.49968338808478,0.07679949249948702,96.47785721384143,96.52150956232812,96.51406021700987,0.10880978813844422
fuzzy_5x5,partial_shading_complex_pattern_a,convergence_time_s,not_applicable,50,0,,,,,,
fuzzy_5x5,partial_shading_complex_pattern_a,convergence_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_5x5,partial_shading_complex_pattern_a,energy_yield_j,not_applicable,50,50,482.89084362683053,174.06649648371715,433.4216927439885,532.3599945096726,351.76909696246486,351.671540727955
fuzzy_5x5,partial_shading_complex_pattern_a,energy_yield_ratio,not_applicable,50,50,0.5370619142474135,0.19359341151668003,0.4820432755219616,0.5920805529728653,0.39123082800414566,0.3911223278353308
fuzzy_5x5,partial_shading_complex_pattern_a,oscillation_p2p_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_5x5,partial_shading_complex_pattern_a,oscillation_std_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_5x5,partial_shading_complex_pattern_a,settling_time_s,not_applicable,50,0,,,,,,
fuzzy_5x5,partial_shading_complex_pattern_a,settling_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_5x5,partial_shading_complex_pattern_a,tracking_efficiency_pct,not_applicable,50,50,53.706191424741334,19.359341151668,48.20432755219615,59.20805529728652,39.123082800414565,39.112232783533074
fuzzy_5x5,partial_shading_complex_pattern_b,convergence_time_s,not_applicable,50,0,,,,,,
fuzzy_5x5,partial_shading_complex_pattern_b,convergence_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_5x5,partial_shading_complex_pattern_b,energy_yield_j,not_applicable,50,50,346.7261110783392,8.578765622956311,344.2880528674631,349.16416928921535,350.50067854859424,4.355725482288676
fuzzy_5x5,partial_shading_complex_pattern_b,energy_yield_ratio,not_applicable,50,50,0.7130072986577298,0.017641366794149124,0.7079936776947724,0.7180209196206873,0.720769316197158,0.008957110412488145
fuzzy_5x5,partial_shading_complex_pattern_b,oscillation_p2p_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_5x5,partial_shading_complex_pattern_b,oscillation_std_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_5x5,partial_shading_complex_pattern_b,settling_time_s,not_applicable,50,0,,,,,,
fuzzy_5x5,partial_shading_complex_pattern_b,settling_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_5x5,partial_shading_complex_pattern_b,tracking_efficiency_pct,not_applicable,50,50,71.300729865773,1.7641366794149123,70.79936776947724,71.80209196206874,72.07693161971581,0.8957110412488021
